carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,88500,km,S 600,MERCEDES-BENZ S 600,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,211000,km,S6 Avant quattro,AUDI S6 Avant quattro,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,ASTON MARTIN,null,5000,km,DBS Coupé,ASTON MARTIN DBS Coupé,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,86900,km,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,20400,km,911 Carrera Cabrio,PORSCHE 911 Carrera Cabrio,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,63400,km,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,25000,km,SLK 55 AMG Black Series,MERCEDES-BENZ SLK 55 AMG Black Series,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,JAGUAR,null,49200,km,E E-Type III,JAGUAR E E-Type III,null,car,null,null,null
Other,Gold,Occasion,null,null,Zuzwil,null,RENAULT,null,59900,km,R5 Turbo 2,RENAULT R5 Turbo 2,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Sursee,null,FORD (USA),null,1000,km,Mustang,FORD (USA) Mustang,null,car,null,null,null
SUV,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,2000,km,ML 63 AMG 4Matic,MERCEDES-BENZ ML 63 AMG 4Matic,null,car,null,null,null
Coupé,Black,Occasion,null,null,Porrentruy,null,LAMBORGHINI,null,7890,km,Murciélago LP640-4 Cpé,LAMBORGHINI Murciélago LP640-4 Cpé,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW,null,65000,km,740i,BMW 740i,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,19200,km,Alpine A110 1600S Gruppe 5 look,RENAULT Alpine A110 1600S Gruppe 5 look,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,45500,km,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,43200,km,SLK 320,MERCEDES-BENZ SLK 320,null,car,null,null,null
Coupé,Red,Oldtimer,null,null,Zuzwil,null,MERCEDES-BENZ,null,1,km,170V B Cabrio 136,MERCEDES-BENZ 170V B Cabrio 136,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,117900,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,38900,km,Coupé GT,MASERATI Coupé GT,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,14100,km,S 320,MERCEDES-BENZ S 320,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,126300,km,ML 350 Inspiration,MERCEDES-BENZ ML 350 Inspiration,null,car,null,null,null
Coupé,White,Occasion,null,null,Porrentruy,null,LAMBORGHINI,null,5900,km,Reventon Coupé,LAMBORGHINI Reventon Coupé,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,RENAULT,null,99,km,CLIO Rennwagen,RENAULT CLIO Rennwagen,null,car,null,null,null
Coupé,Blue,Oldtimer,null,null,Zuzwil,null,MG,null,37000,km,Roadster,MG Roadster,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FORD,null,96600,km,ESCORT RS 2000,FORD ESCORT RS 2000,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,AUDI,null,55000,km,S8 4.2 quattro,AUDI S8 4.2 quattro,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,FIAT,null,28800,km,Stilo 1.8 16V Swiss,FIAT Stilo 1.8 16V Swiss,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,120900,km,CLS 500,MERCEDES-BENZ CLS 500,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,19900,km,A8 3.7,AUDI A8 3.7,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,26800,km,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,CHEVROLET,null,4000,km,Corvette ZR1,CHEVROLET Corvette ZR1,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,2400,km,SLR McLaren Roadster,MERCEDES-BENZ SLR McLaren Roadster,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,69000,km,Alpine A310 V6,RENAULT Alpine A310 V6,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,49300,km,S8 4.2 quattro,AUDI S8 4.2 quattro,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,97300,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,BMW,null,228000,km,323Ci,BMW 323Ci,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,CHEVROLET,null,33000,km,Corvette 6.2,CHEVROLET Corvette 6.2,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,SMART,null,165000,km,Fortwo passion,SMART Fortwo passion,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,VW,null,104500,km,Touareg 5.0 TDI V10,VW Touareg 5.0 TDI V10,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,128500,km,ALPINE V6,RENAULT ALPINE V6,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,BMW,null,63000,km,740i,BMW 740i,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,118300,km,CLS 55 AMG,MERCEDES-BENZ CLS 55 AMG,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,BENTLEY,null,84000,km,Continental GT 6.0,BENTLEY Continental GT 6.0,null,car,null,null,null
Coupé,Blue,Oldtimer,null,null,Zuzwil,null,RENAULT,null,77300,km,Alpine A310 V6,RENAULT Alpine A310 V6,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,101200,km,911 Carrera 4S,PORSCHE 911 Carrera 4S,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,AUDI,null,57000,km,S8 4.2 quattro,AUDI S8 4.2 quattro,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,49800,km,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,BMW,null,26200,km,728i,BMW 728i,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,48100,km,S 600 L,MERCEDES-BENZ S 600 L,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,TOYOTA,null,158000,km,Celica 2800 i Supra,TOYOTA Celica 2800 i Supra,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,99900,km,S 500,MERCEDES-BENZ S 500,null,car,null,null,null
Saloon,Yellow,Oldtimer,null,null,Safenwil,null,TOYOTA,null,58100,km,CAMRY 2000 GLi Super Liftback,TOYOTA CAMRY 2000 GLi Super Liftback,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,FERRARI,null,42200,km,612,FERRARI 612,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,21300,km,CLS 500,MERCEDES-BENZ CLS 500,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,VW,null,43900,km,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,47400,km,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,LAND ROVER,null,50400,km,Defender 90 2.4Td4 SW,LAND ROVER Defender 90 2.4Td4 SW,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,CHRYSLER,null,20000,km,Viper RT/10,CHRYSLER Viper RT/10,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,29500,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,51800,km,RS4 Avant quattro,AUDI RS4 Avant quattro,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,43400,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,MASERATI,null,53000,km,Coupé GT,MASERATI Coupé GT,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,PORSCHE,null,34000,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Porrentruy,null,FERRARI,null,53500,km,F430 Spider,FERRARI F430 Spider,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,74400,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
SUV,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,28000,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,OPEL,null,153900,km,Frontera 3.2i V6 Limited,OPEL Frontera 3.2i V6 Limited,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,61000,km,S 65 L AMG 650PS,MERCEDES-BENZ S 65 L AMG 650PS,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,56500,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,38200,km,911 Carrera 4,PORSCHE 911 Carrera 4,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,BMW,null,91000,km,X5 4.4i,BMW X5 4.4i,null,car,null,null,null
Pick-up,White,Occasion,null,null,Zuzwil,null,CHEVROLET,null,34500,km,Silverado 2500HD 6.6l V8,CHEVROLET Silverado 2500HD 6.6l V8,null,car,null,null,null
SUV,Yellow,Occasion,null,null,Zuzwil,null,PORSCHE,null,91600,km,Cayenne Turbo S,PORSCHE Cayenne Turbo S,null,car,null,null,null
Station Wagon,Black,Vorführmodell,null,null,Zuzwil,null,AUDI,null,2300,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,PORSCHE,null,73500,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,48500,km,E 430 Avantgarde,MERCEDES-BENZ E 430 Avantgarde,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FIAT,null,115100,km,SPIDER CSA,FIAT SPIDER CSA,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,81000,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Convertible,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,32500,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,32800,km,F355 Berlinetta,FERRARI F355 Berlinetta,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,FERRARI,null,23100,km,575M,FERRARI 575M,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,88100,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,106000,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Orange,Occasion,null,null,Zuzwil,null,PORSCHE,null,5000,km,911 GT3 CUP Rennwagen,PORSCHE 911 GT3 CUP Rennwagen,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,36900,km,ALPINE 2700VA,RENAULT ALPINE 2700VA,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,132600,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,RENAULT,null,108000,km,Alpine A310 V6,RENAULT Alpine A310 V6,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,BMW,null,157400,km,323 i E21,BMW 323 i E21,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,DATSUN,null,23300,km,SPORTS 2000,DATSUN SPORTS 2000,null,car,null,null,null
SUV,Silver,Neu,null,null,Zuzwil,null,PORSCHE,null,1,km,Cayenne S,PORSCHE Cayenne S,null,car,null,null,null
SUV,Silver,Neu,null,null,Zuzwil,null,PORSCHE,null,400,km,Cayenne Turbo S,PORSCHE Cayenne Turbo S,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,PORSCHE,null,16000,km,911 Turbo S Cabrio SPEED ART 580PS,PORSCHE 911 Turbo S Cabrio SPEED ART 580PS,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,PEUGEOT,null,72600,km,406 Coupé 3.0 V6 Pack,PEUGEOT 406 Coupé 3.0 V6 Pack,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,RENAULT,null,39267,km,Alpine A110 A5 Motor,RENAULT Alpine A110 A5 Motor,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,29000,km,CL 600,MERCEDES-BENZ CL 600,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,CHEVROLET,null,24000,km,Corvette Z06,CHEVROLET Corvette Z06,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,111500,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,83600,km,SL 320,MERCEDES-BENZ SL 320,null,car,null,null,null
Other,Purple,Occasion,null,null,Zuzwil,null,RENAULT,null,77900,km,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,PEUGEOT,null,58950,km,205 Turbo 16V,PEUGEOT 205 Turbo 16V,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,AUDI,null,125400,km,A8 4.2 quattro,AUDI A8 4.2 quattro,null,car,null,null,null
SUV,White,Neu,null,null,Zuzwil,null,PORSCHE,null,10,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Convertible,Green,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,12900,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Convertible,Beige,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,34000,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Other,White,Occasion,null,null,Zuzwil,null,AUTOBIANCHI,null,9999,km,A112 Abarth Serie II,AUTOBIANCHI A112 Abarth Serie II,null,car,null,null,null
Saloon,White,Occasion,null,null,Zuzwil,null,ROLLS-ROYCE,null,56000,km,Phantom 6.7 V12,ROLLS-ROYCE Phantom 6.7 V12,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,VW,null,15900,km,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,null,car,null,null,null
Station Wagon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,64100,km,C 43 AMG Sport,MERCEDES-BENZ C 43 AMG Sport,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,10600,km,Quattroporte 4.2,MASERATI Quattroporte 4.2,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,FERRARI,null,92000,km,456M GTA,FERRARI 456M GTA,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,FERRARI,null,78000,km,F355 Berlinetta,FERRARI F355 Berlinetta,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,12000,km,Carrera GT,PORSCHE Carrera GT,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,BMW,null,22800,km,Z4 2.5i Roadster,BMW Z4 2.5i Roadster,null,car,null,null,null
SUV,Black,Occasion,null,null,Zuzwil,null,LAND ROVER,null,70400,km,Range Rover 4.6 HSE,LAND ROVER Range Rover 4.6 HSE,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,MASERATI,null,23200,km,Coupé GT,MASERATI Coupé GT,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,AUDI,null,61300,km,R8 Coupé 4.2,AUDI R8 Coupé 4.2,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,108500,km,911 Carrera,PORSCHE 911 Carrera,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,PORSCHE,null,47600,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,55300,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,LAMBORGHINI,null,20800,km,Murciélago LP670-4 SV Cpé,LAMBORGHINI Murciélago LP670-4 SV Cpé,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,19100,km,B5 BiTurbo 4.4 V8,BMW-ALPINA B5 BiTurbo 4.4 V8,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,LEXUS,null,34000,km,GS 450h,LEXUS GS 450h,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,PORSCHE,null,33000,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BENTLEY,null,57000,km,Arnage T,BENTLEY Arnage T,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,NISSAN,null,2300,km,Skyline R34 GTR,NISSAN Skyline R34 GTR,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,39800,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Convertible,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,148600,km,944 S2 Cabriolet ABS,PORSCHE 944 S2 Cabriolet ABS,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,4950,km,B5 BiTurbo 4.4 V8,BMW-ALPINA B5 BiTurbo 4.4 V8,null,car,null,null,null
Coupé,Green,Occasion,null,null,Zuzwil,null,FERRARI,null,34000,km,348 tb,FERRARI 348 tb,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,96600,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,ASTON MARTIN,null,35500,km,V8 Vantage 4.3,ASTON MARTIN V8 Vantage 4.3,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,126000,km,E 230 Elégance,MERCEDES-BENZ E 230 Elégance,null,car,null,null,null
Saloon,Beige,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,46000,km,S 65 L / BRABUS T65 S,MERCEDES-BENZ S 65 L / BRABUS T65 S,null,car,null,null,null
